ICDId;Category;ICD10CODE;DESCRIPTION
48;A00-A09;A05;Other bacterial foodborne intoxications
49;A00-A09;A05.0;Foodborne staphylococcal intoxication
50;A00-A09;A05.1;Botulism,A00-A09
51;A00-A09;A05.2;Foodborne Clostridium perfringens[Clostridium welchii] intoxication
52;A00-A09;A05.3;Foodborne Vibrio parahaemolyticus intoxication
53;A00-A09;A05.4;Foodborne Bacillus cereus intoxication
54;A00-A09;A05.8;Other specified bacterial foodborne intoxications
55;A00-A09;A05.9;Bacterial foodborne intoxication, unspecified
56;A00-A09;A06;Amoebiasis,A00-A09
57;A00-A09;A06.0;Acute amoebic dysentery(AMOEBIC/AMOEBIASIS COLITIS)(INTESTINAL AMOEBIASIS)
58;A00-A09;A06.0/0;Amebiasis colitis
59;A00-A09;A06.0/1;Amebic dysentery
60;A00-A09;A06.0/2;Intestinal amebiasis
61;A00-A09;A06.1;Chronic intestinal amoebiasis
62;A00-A09;A06.1/0;Chronic intestinal amebiasis
63;A00-A09;A06.2;Amoebic nondysenteric colitis
64;A00-A09;A06.3;Amoeboma of intestine
65;A00-A09;A06.4;Amoebic liver abscess
66;A00-A09;A06.4/0;Amebic Liver Abscess
67;A00-A09;A06.5;Amoebic lung abscess(AMOEBIC LIVER ABSCESS WITH LUNG ABSCESS)
68;A00-A09;A06.5/0;Amebic Liver Abscess with Lung Abscess
69;A00-A09;A06.5/1;Amebic Lung Abscess with Liver Abscess
70;A00-A09;A06.6;Amoebic brain abscess(AMOEBIC LIVER ABSCESS WITH BRAIN ABSCESS AND LUNG ABSCESS)
71;A00-A09;A06.6/0;Amebic Liver Abscess with Brain Abscess
72;A00-A09;A06.6/1;Amebic Liver Abscess with Brain Abscess and Lung Abscess
73;A00-A09;A06.7;Cutaneous amoebiasis
74;A00-A09;A06.8;Amoebic infection of other sites
75;A00-A09;A06.9;Amoebiasis, unspecified
76;A00-A09;A06.9/0;Amebiasis,A00-A09
77;A00-A09;A07;Other protozoal intestinal diseases
78;A00-A09;A07.1;Giardiasis[Lambliasis],A00-A09
79;A00-A09;A07.2;Cryptosporidiosis,A00-A09
80;A00-A09;A07.3;Isosporiasis,A00-A09
81;A00-A09;A07.8;Other specified protozoal intestinal diseases(INTESTINAL MICROSPORIDIOSIS)
82;A00-A09;A07.9;Protozoal intestinal disease, unspecified
83;A00-A09;A08;Viral and other specified intestinal infections
84;A00-A09;A08.0;Rotaviral enteritis
85;A00-A09;A08.1;Acute gastroenteropathy due to Norwalk agent
86;A00-A09;A08.2;Adenoviral enteritis
87;A00-A09;A08.3;Other viral enteritis
88;A00-A09;A08.4;Viral intestinal infection, unspecified
89;A00-A09;A08.5;Other specified intestinal infections
90;A00-A09;A09.0;Other and unspecified gastroenteritis and colitis of infectious origin
91;A00-A09;A09.0/0;Infectious colitis
92;A00-A09;A09.0/1;Infectious diarrhea
93;A00-A09;A09.0/2;Infectious diarrhea with dehydration
94;A00-A09;A09.9;Gastroenteritis and colitis of unspecified origin
95;A00-A09;A09.9/0;Colitis,A00-A09
96;A00-A09;A09.9/1;Diarrhea,A00-A09
97;A00-A09;A09.9/2;Diarrhea with dehydration
98;A00-A09;A09.9/3;Diarrhea with mild dehydration
99;A00-A09;A09.9/4;Infectious diarrhea with mild dehydration
100;A00-A09;A09.9/5;Diarrhea with moderate dehydration
101;A00-A09;A09.9/6;Infectious diarrhea with moderate dehydration
102;A00-A09;A09.9/7;Diarrhea with severe dehydration
103;A00-A09;A09.9/8;Infectious diarrhea with severe dehydration
104;A00-A09;A09.9/9;Diarrhea with no dehydration
105;A00-A09;A09.9/10;Infectious diarrhea with no dehydration
106;A00-A09;A09.9/11;Enteritis,A00-A09
107;A00-A09;A09.9/12;Gastroenteritis,A00-A09
108;A00-A09;A09.9/13;Acute Gastroenteritis (AGE)
109;A00-A09;A09.9/14;Acute Gastroenteritis (AGE), with dehydration
110;A00-A09;A09.9/15;Acute Gastroenteritis (AGE) with mild dehydration
111;A00-A09;A09.9/16;Acute Gastroenteritis (AGE) with moderate dehydration
112;A00-A09;A09.9/17;Acute Gastroenteritis (AGE) with severe dehydration
113;A00-A09;A09.9/18;Acute Gastroenteritis (AGE) with no signs of dehydration
114;A00-A09;A09.9/19;Ileitis,A00-A09
115;A15-A19;A15;Respiratory tuberculosis
116;A15-A19;A15.0/0;Tuberculous pneumonia, confirmed by sputum microscopy with or without culture
117;A15-A19;A15.0/1;MDRTB confirmed by sputum and culture
118;A15-A19;A15.0/2;Pulmonary Tuberculosis (PTB), confirmed by sputum (with or without culture)
119;A15-A19;A15.0/3;Tuberculous bronchiectasis, confirmed by sputum microscopy (with or without culture)
120;A15-A19;A15.0/4;Tuberculous fibrosis of lung, confirmed by sputum microscopy (with or without culture)
121;A15-A19;A15.0/5;Tuberculous pneumonia, confirmed by sputum microscopy (with or without culture)
122;A15-A19;A15.0/6;Tuberculous pneumothorax, confirmed by sputum microscopy (with or without culture)
123;A15-A19;A15.1;Tuberculosis of lung, confirmed by culture only(MDRTB CONFIRMED BY CULTURE)
124;A15-A19;A15.1/0;MDRTB confirmed by culture
125;A15-A19;A15.1/1;Pulmonary Tuberculosis (PTB), confirmed by culture
126;A15-A19;A15.1/2;Tuberculous bronchiectasis, confirmed by culture
127;A15-A19;A15.1/3;Tuberculous fibrosis of lung, confirmed by culture
128;A15-A19;A15.1/4;Tuberculous pneumonia, confirmed by culture
129;A15-A19;A15.1/5;Tuberculous pneumothorax, confirmed by culture
130;A15-A19;A15.2;Tuberculosis of lung, confirmed histologically
131;A15-A19;A15.2/0;Pulmonary Tuberculosis (PTB), confirmed histologically
132;A15-A19;A15.2/1;Tuberculous bronchiectasis, confirmed histologically
133;A15-A19;A15.2/2;Tuberculous fibrosis of lung, confirmed histologically
134;A15-A19;A15.2/3;Tuberculous pneumonia, confirmed histotogically
135;A15-A19;A15.2/4;Tuberculous pneumothorax, confirmed histologically
136;A15-A19;A15.3;Tuberculosis of lung, confirmed by unspecified means
137;A15-A19;A15.4;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
138;A15-A19;A15.4/0;Tuberculosis of lymph nodes, mediastinal, confirmed bacteriologically and histologically
139;A15-A19;A15.4/1;Tuberculosis of lymph nodes, mediastinal, confirmed bacteriologically
140;A15-A19;A15.4/2;Tuberculosis of lymph nodes, mediastinal, confirmed histologically
141;A15-A19;A15.4/3;Tuberculosis of lymph nodes, tracheobronchial, confirmed bacteriologically and histologically
142;A15-A19;A15.4/4;Tuberculosis of lymph nodes, tracheobronchial, confirmed bacteriologically
143;A15-A19;A15.4/5;Tuberculosis of lymph nodes, tracheobronchial, confirmed histologically
144;A15-A19;A15.4/6;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
145;A15-A19;A15.4/7;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically
146;A15-A19;A15.4/8;Tuberculosis of intrathoracic lymph nodes, confirmed histologically
147;A15-A19;A15.4/9;Tuberculosis of lymph nodes, hilar, confirmed bacteriologically and histologically
148;A15-A19;A15.4/10;Tuberculosis of lymph nodes, hilar, confirmed bacteriologically
149;A15-A19;A15.4/11;Tuberculosis of lymph nodes, hilar, confirmed histologically
150;A15-A19;A15.4/12;Tuberculous tracheobronchial adenopathy, confirmed bacteriologically and histologically
151;A15-A19;A15.4/13;Tuberculous tracheobronchial adenopathy, confirmed bacteriologically
152;A15-A19;A15.4/14;Tuberculous tracheobronchial adenopathy, confirmed histologically
153;A15-A19;A15.5;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
154;A15-A19;A15.5/0;Tuberculosis bronchorrhagia, confirmed bacteriologically and histologically
155;A15-A19;A15.5/1;Tuberculosis bronchorrhagia, confirmed bacteriologically
156;A15-A19;A15.5/2;Tuberculosis bronchorrhagia, confirmed histologically
157;A15-A19;A15.5/3;Tuberculosis of bronchus, confirmed histologically
158;A15-A19;A15.5/4;Tuberculosis of trachea, confirmed bacteriologically and histologically
159;A15-A19;A15.5/5;Tuberculosis of trachea, confirmed histologically
160;A15-A19;A15.5/6;Tuberculosis of bronchus, confirmed bacteriologically and histologically
161;A15-A19;A15.5/7;Tuberculosis of bronchus, confirmed bacteriologically
162;A15-A19;A15.5/8;Tuberculosis of glottis, confirmed bacteriologically and histologically
163;A15-A19;A15.5/9;Tuberculosis of glottis, confirmed bacteriologically
164;A15-A19;A15.5/10;Tuberculosis of glottis, confirmed histologically
165;A15-A19;A15.5/11;Tuberculosis of larynx, confirmed bacteriologically and histologically
166;A15-A19;A15.5/12;Tuberculosis of larynx, confirmed bacteriologically
167;A15-A19;A15.5/13;Tuberculosis of larynx, confirmed histologically
168;A15-A19;A15.5/14;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
169;A15-A19;A15.5/15;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically
170;A15-A19;A15.5/16;Tuberculosis of larynx, trachea and bronchus, confirmed histologically
171;A15-A19;A15.5/17;Tuberculosis of trachea, confirmed bacteriologically
172;A15-A19;A15.6;Tuberculous pleurisy(EMPYEMA, TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY/HISTOLOGICALLY)
173;A15-A19;A15.6/0;Empyema, tuberculous, confirmed bacteriologically and histologically
174;A15-A19;A15.6/1;Empyema, tuberculous, confirmed bacteriologically
175;A15-A19;A15.6/2;Empyema, tuberculous, confirmed histologically
176;A15-A19;A15.6/3;Tuberculous pleurisy, sputum confirmed
177;A15-A19;A15.6/4;Tuberculosis of pleura, confirmed bacteriologically
178;A15-A19;A15.6/5;Tuberculosis of pleura, confirmed histologically
179;A15-A19;A15.6/6;Tuberculosis of pyothorax, confirmed bacteriologically and histologically
180;A15-A19;A15.6/7;Tuberculosis of pyothorax, confirmed bacteriologically
181;A15-A19;A15.6/8;Tuberculosis of pyothorax, confirmed histologically
182;A15-A19;A15.6/9;Tuberculous empyema, confirmed bacteriologically and histologically
183;A15-A19;A15.6/10;Tuberculous empyema, confirmed bacteriologically
184;A15-A19;A15.6/11;Tuberculous empyema, confirmed histologically
185;A15-A19;A15.6/12;Tuberculous pleurisy, confirmed bacteriologically and histologically
186;A15-A19;A15.6/13;Tuberculous pleurisy, confirmed bacteriologically
187;A15-A19;A15.6/14;Tuberculous pleurisy, confirmed histologically
188;A15-A19;A15.7;Primary respiratory tuberculosis
189;A15-A19;A15.7/0;Empyema, tuberculous in primary respiratory tuberculosis, confirmed bacteriologically and histologically
190;A15-A19;A15.7/1;Empyema, tuberculous in primary respiratory tuberculosis, confirmed bacteriologically
191;A15-A19;A15.7/2;Empyema, tuberculous in primary respiratory tuberculosis, histologically confirmed
192;A15-A19;A15.7/3;Childhood type (first infection) pulmonary tuberculosis, confirmed bacteriologically and histologically
193;A15-A19;A15.7/4;Childhood type (first infection) pulmonary tuberculosis, confirmed bacteriologically
194;A15-A19;A15.7/5;Childhood type (first infection) pulmonary tuberculosis, confirmed histologically
195;A15-A19;A15.7/6;Primary respiratory tuberculosis, confirmed bacteriologically and histologically
196;A15-A19;A15.7/7;Primary respiratory tuberculosis, confirmed bacteriologically
197;A15-A19;A15.7/8;Primary respiratory tuberculosis, confirmed histologically
198;A15-A19;A15.7/9;Primary tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
199;A15-A19;A15.7/10;Primary tuberculosis of lymph nodes, mediastinal, confirmed bacteriologically
200;A15-A19;A15.7/11;Primary tuberculosis of intrathoracic lymph nodes, confirmed histologically
201;A15-A19;A15.7/12;Primary tuberculosis of lymph nodes, mediastinal, confirmed bacteriologically and histologically
202;A15-A19;A15.7/13;Primary tuberculosis of lymph nodes, mediastinal, confirmed bacteriologically
203;A15-A19;A15.7/14;Primary tuberculosis of lymph nodes, mediastinal, confirmed histologically
204;A15-A19;A15.7/15;Primary tuberculosis of lymph nodes, tracheobronchial, confirmed bacteriologically and histologically
205;A15-A19;A15.7/16;Primary tuberculosis of lymph nodes, tracheobronchial, confirmed bacteriologically
206;A15-A19;A15.7/17;Primary tuberculosis of lymph nodes, tracheobronchial, confirmed histologically
207;A15-A19;A15.7/18;Primary tuberculosis of lymph nodes, hilar, confirmed bacteriologically and histologically
208;A15-A19;A15.7/19;Primary tuberculosis of lymph nodes, hilar, confirmed bacteriologically
209;A15-A19;A15.7/20;Primary tuberculosis of lymph nodes, hilar, confirmed histologically
210;A15-A19;A15.7/21;Tuberculosis of pleura in primary respiratory tuberculosis, confirmed bacteriologically and histologically
211;A15-A19;A15.7/22;Tuberculosis of pleura in primary respiratory tuberculosis, confirmed bacteriologically
212;A15-A19;A15.7/23;Tuberculosis of pleura in primary respiratory tuberculosis, confirmed histologically
213;A15-A19;A15.7/24;Tuberculosis, infantile, confirmed bacteriologically and histologically
214;A15-A19;A15.7/25;Tuberculosis, infantile, confirmed bacteriologically
215;A15-A19;A15.7/26;Tuberculosis, infantile, confirmed histologically
216;A15-A19;A15.7/27;Tuberculous empyema in primary respiratory tuberculosis, confirmed bacteriologically and histologically
217;A15-A19;A15.7/28;Tuberculous empyema in primary respiratory tuberculosis, confirmed bacteriologically
218;A15-A19;A15.7/29;Tuberculous empyema in primary respiratory tuberculosis, histologically confirmed
219;A15-A19;A15.8;Other respiratory tuberculosis
220;A15-A19;A15.8/0;Mediastinal tuberculosis confirmed bacteriologically and histologically
221;A15-A19;A15.8/1;Mediastinal tuberculosis confirmed bacteriologically
222;A15-A19;A15.8/2;Mediastinal tuberculosis confirmed histologically
223;A15-A19;A15.8/3;Nasopharyngeal tuberculosis confirmed bacteriologically and histologically
224;A15-A19;A15.8/4;Nasopharyngeal tuberculosis confirmed bacteriologically
225;A15-A19;A15.8/5;Nasopharyngeal tuberculosis confirmed histologically
226;A15-A19;A15.8/6;Tuberculosis of hypopharynx, confirmed bacteriologically and histologically
227;A15-A19;A15.8/7;Tuberculosis of hypopharynx, confirmed bacteriologically
228;A15-A19;A15.8/8;Tuberculosis of hypopharynx, confirmed histologically
229;A15-A19;A15.8/9;Tuberculosis of nose, confirmed bacteriologically and histologically
230;A15-A19;A15.8/10;Tuberculosis of nose, confirmed bacteriologically
231;A15-A19;A15.8/11;Tuberculosis of nose, confirmed histologically
232;A15-A19;A15.8/12;Tuberculosis of retropharyngeal, confirmed bacteriologically and histologically
233;A15-A19;A15.8/13;Tuberculosis of retropharyngeal, confirmed bacteriologically
234;A15-A19;A15.8/14;Tuberculosis of retropharyngeal, confirmed bacteriologically and histologically
235;A15-A19;A15.8/15;Tuberculosis of sinus, confirmed bacteriologically and histologically
236;A15-A19;A15.8/16;Tuberculosis of sinus, confirmed bacteriologically
237;A15-A19;A15.8/17;Tuberculosis of sinus, confirmed histologically
238;A15-A19;A15.9;Respiratory tuberculosis unspecified (Respiratory  Tuberculosis)
239;A15-A19;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically
240;A15-A19;A16.0;Tuberculosis of lung, bacteriologically and histologically negative
241;A15-A19;A16.0/0;Tuberculous pneumonia, sputum negative
242;A15-A19;A16.0/1;Pulmonary tuberculosis (PTB), bacteriologically or histologically negative
243;A15-A19;A16.0/2;Tuberculous bronchiectasis, bacteriologically and histologically negative
244;A15-A19;A16.0/3;Tuberculous fibrosis of lung, bacteriologically and histologically negative
245;A15-A19;A16.0/4;Tuberculous pneumonia, bacteriologically and histologically negative
246;A15-A19;A16.0/5;Tuberculous pneumothorax, bacteriologically and histologically negative
247;A15-A19;A16.1/0;Tuberculous pneumonia, sputum examination not done
248;A15-A19;A16.1/1;MDRTB (without culture sensitivity)
249;A15-A19;A16.1/2;Pulmonary tuberculosis, bacteriological or histological examination not done
250;A15-A19;A16.1/3;Tuberculous bronchiectasis, bacteriological and histological examination not done
251;A15-A19;A16.1/4;Tuberculous fibrosis of lung, bacteriological and histological examination not done
252;A15-A19;A16.1/5;Tuberculous pneumonia, bacteriological and histological examination not done
253;A15-A19;A16.1/6;Tuberculous pneumothorax, bacteriological and histological examination not done
254;A15-A19;A16.2/0;Tuberculous pneumonia
255;A15-A19;A16.21;MDRTB (without mention of culture sensitivity)
256;A15-A19;A16.22;Pulmonary Tuberculosis (PTB)
257;A15-A19;A16.23;Tuberculous bronchiectasis
258;A15-A19;A16.24;Tuberculous fibrosis of lung
259;A15-A19;A16.25;Tuberculous pneumonia
260;A15-A19;A16.26;Tuberculous pneumothorax
261;A15-A19;A16.3;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
262;A15-A19;A16.3/0;Tuberculosis of hilar lymph nodes, without mention of bacteriological and histological confirmation
263;A15-A19;A16.3/1;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological and histological confirmation
264;A15-A19;A16.3/2;Tuberculosis of mediastinal, without mention of bacteriological and histological confirmation lymph nodes
265;A15-A19;A16.3/3;Tuberculosis of tracheobronchial lymph nodes, without mention of bacteriological and histological confirmation
266;A15-A19;A16.3/4;Tuberculous tracheobronchial adenopathy, without mention of bacteriological and histological confirmation
267;A15-A19;A16.4;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
268;A15-A19;A16.4/0;Tuberculosis bronchorrhagia, without mention of bacteriological and histological confirmation
269;A15-A19;A16.4/1;Tuberculosis of bronchus, without mention of bacteriological and histological confirmation
270;A15-A19;A16.4/2;Tuberculosis of glottis, without mention of bacteriological and histological confirmation
271;A15-A19;A16.4/3;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological and histological confirmation
272;A15-A19;A16.4/4;Tuberculosis of larynx, without mention of bacteriological and histological confirmation
273;A15-A19;A16.4/5;Tuberculosis of trachea, without mention of bacteriological and histological confirmation
274;A15-A19;A16.5;Tuberculous pleurisy, without mention of bacteriological or histological confirmation
275;A15-A19;A16.5/0;Empyema, tuberculous
276;A15-A19;A16.5/1;Tuberculous pleurisy
277;A15-A19;A16.5/2;Tuberculosis of pleura, without mention of bacteriological and histological confirmation
278;A15-A19;A16.5/3;Tuberculous empyema, without mention of bacteriological and histological confirmation
279;A15-A19;A16.5/4;Tuberculous pleurisy, without mention of bacteriological and histological confirmation
280;A15-A19;A16.7;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation(PRIMARY COMPLEX)
281;A15-A19;A16.7/0;Empyema, tuberculous in primary respiratory tuberculosis
282;A15-A19;A16.7/1;Primary Complex
283;A15-A19;A16.7/2;Childhood type (first infection) pulmonary tuberculosis
284;A15-A19;A16.7/3;Primary respiratory tuberculosis, without mention of bacteriological and histological confirmation
285;A15-A19;A16.7/4;Primary tuberculosis of intrathoracic lymph nodes, without mention of bacteriological and histological confirmation
286;A15-A19;A16.7/5;Primary tuberculosis of mediastinal lymph nodes, without mention of bacteriological and histological confirmation
287;A15-A19;A16.7/6;Primary tuberculosis of tracheobronchial lymph nodes, without mention of bacteriological and histological confirmation
288;A15-A19;A16.7/7;Primary tuberculosis of hilar lymph nodes, without mention of bacteriological and histological confirmation
289;A15-A19;A16.7/8;Primary tuberculous complex, without mention of bacteriological and histological confirmation
290;A15-A19;A16.7/9;Tuberculosis of pleura in primary respiratory tuberculosis, without mention of bacteriological and histological confirmation
291;A15-A19;A16.7/10;Tuberculosis, infantile
292;A15-A19;A16.7/11;Tuberculous empyema in primary respiratory tuberculosis, without mention of bacteriological and histological confirmation
293;A15-A19;A16.8;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
294;A15-A19;A16.8/0;Mediastinal tuberculosis, without mention of bacteriological and histological confirmation
295;A15-A19;A16.8/1;Nasopharyngeal tuberculosis, without mention of bacteriological and histological confirmation
296;A15-A19;A16.8/2;Tuberculosis of hypopharynx, without mention of bacteriological and histological confirmation
297;A15-A19;A16.8/3;Tuberculosis of nose, without mention of bacteriological and histological confirmation
298;A15-A19;A16.8/4;Tuberculosis of retropharyngeal, without mention of bacteriological and histological confirmation
299;A15-A19;A16.8/5;Tuberculosis of sinus, without mention of bacteriological and histological confirmation
300;A15-A19;A16.9/0;Tuberculous disease
301;A15-A19;A16.9/1;Koch's Disease
302;A15-A19;A16.9/2;Koch's Infection
303;A15-A19;A16.9/3;Respiratory tuberculosis, without mention of bacteriological and histological confirmation
304;A15-A19;A16.9/5;TB relapse
305;A15-A19;A16.9/6;Tuberculosis, without mention of bacteriological and histological confirmation
306;A15-A19;A16.9/4;TB reinfection
307;A15-A19;A17;Tuberculosis of nervous system
308;A15-A19;A17.0;Tuberculous meningitis
309;A15-A19;A17.0/0;Tuberculosis of meninges
310;A15-A19;A17.0/1;Tuberculous leptomeningitis
311;A15-A19;A17.0/2;Tuberculous meningitis
312;A15-A19;A17.0/3;Tuberculous meningitis
313;A15-A19;A17.1;Meningeal tuberculoma
314;A15-A19;A17.8;Other tuberculosis of nervous system
315;A15-A19;A17.8/0;Tuberculoma of brain
316;A15-A19;A17.8/1;Tuberculoma of meninges
317;A15-A19;A17.8/2;Tuberculoma of spinal cord
318;A15-A19;A17.8/3;Tuberculosis of brain
319;A15-A19;A17.8/4;Tuberculosis of spinal cord
320;A15-A19;A17.8/5;Tuberculous abscess of brain
321;A15-A19;A17.8/6;Tuberculous meningoencephalitis
322;A15-A19;A17.8/7;Tuberculous myelitis
323;A15-A19;A17.8/8;Tuberculous polyneuropathy
324;A15-A19;A17.9;Tuberculosis of nervous system, unspecified
325;A15-A19;A17.9/0;Tuberculosis of nervous system
326;A15-A19;A18;Tuberculosis of other organs
327;A15-A19;A18.0;Tuberculosis of bones and joints
328;A15-A19;A18.0/0;Tubercular rheumatism
329;A15-A19;A18.0/1;Tuberculosis of hip
330;A15-A19;A18.0/2;Tuberculosis of knee
331;A15-A19;A18.0/3;Tuberculosis of spine
332;A15-A19;A18.0/4;Tuberculosis of vertebral column
333;A15-A19;A18.0/5;Tuberculosis of wrist
334;A15-A19;A18.0/6;Tuberculous arthritis
335;A15-A19;A18.0/7;Tuberculous mastoiditis
336;A15-A19;A18.0/8;Tuberculous necrosis of bone
337;A15-A19;A18.0/9;Tuberculous osteitis
338;A15-A19;A18.0/10;Tuberculous osteomyelitis
339;A15-A19;A18.0/11;Tuberculous synovitis
340;A15-A19;A18.0/12;Tuberculous tenosynovitis
341;A15-A19;A18.1;Tuberculosis of genitourinary system(TUBERCULOSIS PELVIC INFLAMMATORY DISEASE)
342;A15-A19;A18.1/0;Tuberculosis of bladder
343;A15-A19;A18.1/1;Tuberculosis of cervix
344;A15-A19;A18.1/2;Tuberculosis of epididymis
345;A15-A19;A18.1/3;Tuberculosis of kidney
346;A15-A19;A18.1/4;Tuberculosis of seminal vesicle
347;A15-A19;A18.1/5;Tuberculosis of testis
348;A15-A19;A18.1/6;Tuberculosis of ureter
349;A15-A19;A18.1/7;Tuberculosis of vagina
350;A15-A19;A18.1/8;Tuberculosis of vulva
351;A15-A19;A18.1/9;Tuberculosis vesiculitis
352;A15-A19;A18.1/10;Tuberculous female pelvic inflammatory disease
353;A15-A19;A18.1/11;Tuberculous prostatitis
354;A15-A19;A18.1/12;Tuberculous pelvic inflammatory disease
355;A15-A19;A18.2;Tuberculous peripheral lymphadenopathy
356;A15-A19;A18.2/0;Tuberculous adenitis
357;A15-A19;A18.2/1;Tuberculous inguinalis
358;A15-A19;A18.2/2;Tuberculous peripheral lymphadenopathy
359;A15-A19;A18.3;Tuberculosis of intestines, peritoneum and mesenteric glands
360;A15-A19;A18.3/0;Tuberculosis of mesenteric and retroperitoneal lymph nodes
361;A15-A19;A18.3/1;Tuberculosis of mesenteric lymph nodes
362;A15-A19;A18.3/2;Tuberculosis of retroperitoneal lymph nodes
363;A15-A19;A18.3/3;Tuberculous ascites
364;A15-A19;A18.3/4;Tuberculosis of abdomen
365;A15-A19;A18.3/5;Tuberculosis of anus
366;A15-A19;A18.3/6;Tuberculosis of anus and rectum
367;A15-A19;A18.3/7;Tuberculosis of intestine
368;A15-A19;A18.3/8;Tuberculosis of large intestine
369;A15-A19;A18.3/9;Tuberculosis of rectum
370;A15-A19;A18.3/10;Tuberculosis of small intestine
371;A15-A19;A18.3/11;Tuberculous enteritis
372;A15-A19;A18.3/12;Tuberculous peritonitis
373;A15-A19;A18.4;Tuberculosis of skin and subcutaneous tissue
374;A15-A19;A18.4/0;Tuberculosis colliquativa
375;A15-A19;A18.4/1;Tuberculosis of skin
376;A15-A19;A18.4/2;Tuberculosis of skin and subcutaneous tissue
377;A15-A19;A18.4/3;Tuberculosis of subcutaneous tissue
378;A15-A19;A18.4/4;Tuberculous indurativa
379;A15-A19;A18.4/5;Tuberculous lupus vulgaris
380;A15-A19;A18.5;Tuberculosis of eye
381;A15-A19;A18.5/0;Tuberculous chorioretinitis
382;A15-A19;A18.5/1;Tuberculous episcleritis
383;A15-A19;A18.5/2;Tuberculous interstial keratitis
384;A15-A19;A18.5/3;Tuberculous interstitial keratoconjunctivitis
385;A15-A19;A18.5/4;Tuberculous iridocyclitis
386;A15-A19;A18.5/5;Tuberculous keratoconjunctivitis
