Code,Area,Province/City
6029,Malabuyoc,Cebu
6014,Mandaue,Cebu
6012,Medellin,Cebu
6046,Minglanilla,Cebu
6032,Moalboal,Cebu
6037,Naga,Cebu
6025,Oslob,Cebu
6048,Pilar,Cebu
6039,Pinamungajan,Cebu
6049,Poro,Cebu
6034,Ronda,Cebu
6027,Samboan,Cebu
6018,San Fernando,Cebu
6050,San Francisco,Cebu
6011,San Remigio,Cebu
6047,Santa Fe,Cebu
6026,Santander,Cebu
6020,Sibonga,Cebu
6007,Sogod,Cebu
6009,Tabogon,Cebu
6044,Tabuelan,Cebu
6045,Talisay,Cebu
6038,Toledo,Cebu
6043,Tuburan,Cebu
6051,Tudela,Cebu
9413,Alamada,Cotabato
9415,Aleosan,Cotabato
9414,Antipas,Cotabato
9417,Arakan,Cotabato
9416,Banisilan,Cotabato
9408,Carmen,Cotabato
9407,Kabacan,Cotabato
9400,Kidapawan,Cotabato
9411,Libungan,Cotabato
9402,M'Lang,Cotabato
9404,Magpet,Cotabato
9401,Makilala,Cotabato
9406,Matalam,Cotabato
9410,Midsayap,Cotabato
9412,Pigkawayan,Cotabato
9409,Pikit,Cotabato
9405,President Roxas,Cotabato
9403,Tulunan,Cotabato
8803,Compostela,Davao de Oro
8810,Laak (San Vicente),Davao de Oro
8807,Mabini (Do–a Alicia),Davao de Oro
8806,Maco,Davao de Oro
8808,Maragusan (San Mariano),Davao de Oro
8802,Mawab,Davao de Oro
8805,Monkayo,Davao de Oro
8801,Montevista,Davao de Oro
8800,Nabunturan,Davao de Oro
8804,New Bataan,Davao de Oro
8809,Pantukan,Davao de Oro
8102,Asuncion,Davao del Norte
8118,Babak,Davao del Norte
8101,Carmen,Davao del Norte
8113,Kapalong,Davao del Norte
8120,Kaputian,Davao del Norte
8104,New Corella,Davao del Norte
8105,Panabo,Davao del Norte
8119,Samal,Davao del Norte
8112,Santo Tomas,Davao del Norte
8100,Tagum,Davao del Norte
8005,Bansalan,Davao del Sur
8000,Davao City,Davao del Sur
8002,Digos,Davao del Sur
8006,Hagonoy,Davao del Sur
8008,Kiblawan,Davao del Sur
8004,Magsaysay,Davao del Sur
8010,Malalag,Davao del Sur
8003,Matanao,Davao del Sur
8007,Padada,Davao del Sur
8001,Santa Cruz,Davao del Sur
8009,Sulop,Davao del Sur
8013,Don Marcelino,Davao Occidental
8014,Jose Abad Santos,Davao Occidental
8012,Malita,Davao Occidental
8011,Santa Maria,Davao Occidental
8015,Sarangani,Davao Occidental
8204,Baganga,Davao Oriental
8208,Banaybanay,Davao Oriental
8206,Boston,Davao Oriental
8203,Caraga,Davao Oriental
8205,Cateel,Davao Oriental
8210,Governor Generoso,Davao Oriental
8207,Lupon,Davao Oriental
8202,Manay,Davao Oriental
8200,Mati,Davao Oriental
8209,San Isidro,Davao Oriental
8201,Tarragona,Davao Oriental
8413,Basilisa (Rizal),Dinagat Islands
8411,Cagdianao,Dinagat Islands
8412,Dinagat,Dinagat Islands
8414,Libjo (Albor),Dinagat Islands
8415,Loreto,Dinagat Islands
8427,San Jose,Dinagat Islands
8426,Tubajon,Dinagat Islands
6822,Arteche,Eastern Samar
6812,Balangiga,Eastern Samar
6801,Balangkayan,Eastern Samar
6800,Borongan,Eastern Samar
6806,Can-avid,Eastern Samar
6817,Dolores,Eastern Samar
6805,General MacArthur,Eastern Samar
6811,Giporlos,Eastern Samar
6809,Guiuan,Eastern Samar
6804,Hernani,Eastern Samar
6819,Jipapad,Eastern Samar
6813,Lawaan,Eastern Samar
6803,Llorente,Eastern Samar
6820,Maslog,Eastern Samar
6802,Maydolong,Eastern Samar
6808,Mercedes,Eastern Samar
6818,Oras,Eastern Samar
6810,Quinapondan,Eastern Samar
6807,Salcedo,Eastern Samar
6814,San Julian,Eastern Samar
6821,San Policarpo,Eastern Samar
6815,Sulat,Eastern Samar
6816,Taft,Eastern Samar
5044,Buenavista,Guimaras
5045,Jordan,Guimaras
5046,Nueva Valencia,Guimaras
5047,San Lorenzo,Guimaras
5048,Sibunag,Guimaras
3606,Aguinaldo,Ifugao
3608,Alfonso Lista (Potia),Ifugao
3610,Asipulo,Ifugao
3601,Banaue,Ifugao
3607,Hingyon,Ifugao
3603,Hungduan,Ifugao
3604,Kiangan,Ifugao
3600,Lagawe,Ifugao
3605,Lamut,Ifugao
3602,Mayoyao (Mayaoyao),Ifugao
3609,Tinoc,Ifugao
2922,Adams,Ilocos Norte
2916,Bacarra,Ilocos Norte
2904,Badoc,Ilocos Norte
2920,Bangui,Ilocos Norte
2908,Banna (Espiritu),Ilocos Norte
2906,Batac,Ilocos Norte
2918,Burgos,Ilocos Norte
2911,Carasi,Ilocos Norte
2903,Currimao,Ilocos Norte
2913,Dingras,Ilocos Norte
2921,Dumalneg,Ilocos Norte
2900,Laoag,Ilocos Norte
2907,Marcos,Ilocos Norte
2909,Nueva Era,Ilocos Norte
2919,Pagudpud,Ilocos Norte
2902,Paoay,Ilocos Norte
2917,Pasuquin,Ilocos Norte
2912,Piddig,Ilocos Norte
2905,Pinili,Ilocos Norte
2901,San Nicolas,Ilocos Norte
2914,Sarrat,Ilocos Norte
2910,Solsona,Ilocos Norte
2915,Vintar,Ilocos Norte
2716,Alilem,Ilocos Sur
2708,Banayoyo,Ilocos Sur
2727,Bantay,Ilocos Sur
2724,Burgos,Ilocos Sur
2732,Cabugao,Ilocos Sur
2710,Candon,Ilocos Sur
2702,Caoayan,Ilocos Sur
2718,Cervantes,Ilocos Sur
2709,Galimuyod,Ilocos Sur
2720,Gregorio del Pilar,Ilocos Sur
2723,Lidlidda,Ilocos Sur
2730,Magsingal,Ilocos Sur
2725,Nagbukel,Ilocos Sur
2704,Narvacan,Ilocos Sur
2721,Quirino (Angkaki),Ilocos Sur
2711,Salcedo (Baugen),Ilocos Sur
2722,San Emilio,Ilocos Sur
2706,San Esteban,Ilocos Sur
2728,San Ildefonso,Ilocos Sur
2731,San Juan (Lapog),Ilocos Sur
2726,San Vicente,Ilocos Sur
2703,Santa,Ilocos Sur
2701,Santa Catalina,Ilocos Sur
2713,Santa Cruz,Ilocos Sur
2712,Santa Lucia,Ilocos Sur
2705,Santa Maria,Ilocos Sur
2707,Santiago,Ilocos Sur
2729,Santo Domingo,Ilocos Sur
2719,Sigay,Ilocos Sur
2733,Sinait,Ilocos Sur
2717,Sugpon,Ilocos Sur
2715,Suyo,Ilocos Sur
2714,Tagudin,Ilocos Sur
2700,Vigan,Ilocos Sur
5012,Ajuy,Iloilo
5028,Alimodian,Iloilo
5009,Anilao,Iloilo
5033,Badiangan,Iloilo
5018,Balasan,Iloilo
5010,Banate,Iloilo
5007,Barotac Nuevo,Iloilo
5011,Barotac Viejo,Iloilo
5016,Batad,Iloilo
5041,Bingawan,Iloilo
5031,Cabatuan,Iloilo
5040,Calinog,Iloilo
5019,Carles,Iloilo
5013,Concepcion,Iloilo
5035,Dingle,Iloilo
5038,Duenas,Iloilo
5006,Dumangas,Iloilo
5017,Estancia,Iloilo
5022,Guimbal,Iloilo
5029,Igbaras,Iloilo
5000,Iloilo City,Iloilo
5034,Janiuay,Iloilo
5042,Lambunao,Iloilo
5003,Leganes,Iloilo
5043,Lemery,Iloilo
5026,Leon,Iloilo
5030,Maasin,Iloilo
5023,Miagao,Iloilo
5032,Mina,Iloilo
5005,New Lucena,Iloilo
5020,Oton,Iloilo
5037,Passi,Iloilo
5001,Pavia,Iloilo
5008,Pototan,Iloilo
5015,San Dionisio,Iloilo
5036,San Enrique,Iloilo
5024,San Joaquin,Iloilo
5025,San Miguel,Iloilo
5039,San Rafael,Iloilo
5002,Santa Barbara,Iloilo
5014,Sara,Iloilo
5021,Tigbauan,Iloilo
5027,Tubungan,Iloilo
5004,Zarraga,Iloilo
3306,Alicia,Isabela
3307,Angadanan,Isabela
3316,Aurora,Isabela
3331,Benito Soliven,Isabela
3322,Burgos,Isabela
3328,Cabagan,Isabela
3315,Cabatuan,Isabela
3305,Cauayan,Isabela
3312,Cordon,Isabela
3326,Delfin Albano,Isabela
3336,Dinapigue,Isabela
3335,Divilacan,Isabela
3309,Echague,Isabela
3301,Gamu,Isabela
3300,Ilagan,Isabela
3313,Jones,Isabela
3304,Luna,Isabela
3333,Maconacon,Isabela
3323,Mallig,Isabela
3302,Naguillan,Isabela
3334,Palanan,Isabela
3324,Quezon,Isabela
3321,Quirino,Isabela
3319,Ramon,Isabela
3303,Reina Mercedes,Isabela
3320,Roxas,Isabela
3314,San Agustin,Isabela
3308,San Guillermo,Isabela
3310,San Isidro,Isabela
3317,San Manuel (Callang),Isabela
3332,San Mariano,Isabela
3318,San Mateo,Isabela
3329,San Pablo,Isabela
3330,Santa Maria,Isabela
3311,Santiago,Isabela
3327,Santo Tomas,Isabela
3325,Tumauini,Isabela
3801,Balbalan,Kalinga
3802,Lubuagan,Kalinga
3803,Pasil,Kalinga
3806,Pinukpuk,Kalinga
3808,Rizal (Liwan),Kalinga
3800,Tabuk,Kalinga
3805,Tanudan,Kalinga
3804,Tinglayan,Kalinga
2504,Agoo,La Union
2503,Aringay,La Union
2515,Bacnotan,La Union
2512,Bagulin,La Union
2517,Balaoan,La Union
2519,Bangar,La Union
2501,Bauang,La Union
2510,Burgos,La Union
2502,Caba,La Union
2518,Luna,La Union
2511,Naguilian,La Union
2508,Pugo,La Union
2506,Rosario,La Union
2500,San Fernando,La Union
2513,San Gabriel,La Union
2514,San Juan,La Union
2505,Santo Tomas,La Union
2516,Santol,La Union
2520,Sudipen,La Union
2509,Tubao,La Union
4001,Alaminos,Laguna
4033,Bay,Laguna
4024,Bi–an,Laguna
4006,"Botocan, Magdalena",Laguna
4025,Cabuyao,Laguna
4027,Calamba,Laguna
4012,Calauan,Laguna
4029,"Camp Vicente Lim, Calamba",Laguna
4028,"Canlubang, Calamba",Laguna
4013,Cavinti,Laguna
4021,Famy,Laguna
4015,Kalayaan,Laguna
4004,Liliw,Laguna
4030,Los Ba–os,Laguna
4032,Luisiana,Laguna
4014,Lumban,Laguna
4020,Mabitac,Laguna
4007,Magdalena,Laguna
4005,Majayjay,Laguna
4002,Nagcarlan,Laguna
4016,Paete,Laguna
4008,Pagsanjan,Laguna
4017,Pakil,Laguna
4018,Pangil,Laguna
4010,Pila,Laguna
4003,Rizal,Laguna
4000,San Pablo,Laguna
4023,San Pedro,Laguna
4009,Santa Cruz,Laguna
4022,Santa Maria,Laguna
4026,Santa Rosa,Laguna
4019,Siniloan,Laguna
4031,University of the Philippines Los Ba–os,Laguna
4011,Victoria,Laguna
9205,Bacolod,Lanao del Norte
9217,Baloi,Lanao del Norte
9210,Baroy,Lanao del Norte
9200,Iligan,Lanao del Norte
9214,Kapatagan,Lanao del Norte
9202,Kauswagan,Lanao del Norte
9207,Kolambugan,Lanao del Norte
9211,Lala,Lanao del Norte
9201,Linamon,Lanao del Norte
9221,Magsaysay,Lanao del Norte
9206,Maigo,Lanao del Norte
9203,Matungao,Lanao del Norte
9219,Munai,Lanao del Norte
9216,Nunungan,Lanao del Norte
9208,Pantao Ragat,Lanao del Norte
9218,Pantar,Lanao del Norte
9204,Poona Piagapo,Lanao del Norte
9212,Salvador,Lanao del Norte
9213,Sapad,Lanao del Norte
9215,Sultan Naga Dimaporo (Karomatan),Lanao del Norte
9222,Tagoloan,Lanao del Norte
9220,Tangcal,Lanao del Norte
9209,Tubod,Lanao del Norte
9320,Amai Manabilang (Bumbaran),Lanao del Sur
9316,Bacolod-Kalawi (Bacolod Grande),Lanao del Sur
9302,Balabagan,Lanao del Sur
9318,Balindong,Lanao del Sur
9309,Bayang,Lanao del Sur
9310,Binidayan,Lanao del Sur
9714,Buadiposo-Buntong,Lanao del Sur
9708,Bubong,Lanao del Sur
9305,Butig,Lanao del Sur
9319,Calanogas,Lanao del Sur
9713,Ditsaan-Ramain,Lanao del Sur
9311,Ganassi,Lanao del Sur
9709,Kapai,Lanao del Sur
9700,Kapatagan,Lanao del Sur
9703,Lumba-Bayabao,Lanao del Sur
9308,Lumbaca-Unayan and Macadar Andong,Lanao del Sur
9307,Lumbatan,Lanao del Sur
9306,Lumbayanague,Lanao del Sur
9315,Madalum,Lanao del Sur
9314,Madamba,Lanao del Sur
9715,Maguing,Lanao del Sur
9300,Malabang,Lanao del Sur
9711,Marantao,Lanao del Sur
9700,Marawi,Lanao del Sur
9303,Marogong,Lanao del Sur
9706,Masiu,Lanao del Sur
9702,Mulondo,Lanao del Sur
9312,Pagayawan,Lanao del Sur
9710,Piagapo,Lanao del Sur
9301,Picong (Sultan Gumander),Lanao del Sur
9705,Poona Bayabao,Lanao del Sur
9313,Pualas,Lanao del Sur
9701,Saguiaran,Lanao del Sur
9321,Tagoloan II,Lanao del Sur
9704,Tamparan,Lanao del Sur
9712,Taraka,Lanao del Sur
9304,Tubaran,Lanao del Sur
9317,Tugaya,Lanao del Sur
9716,Wao,Lanao del Sur
1750,Almanza,Las Pi–as
1749,Angela Village,Las Pi–as
1743,Cut-cut,Las Pi–as
